Genre,Film,Director,Leading actors,Year of cinema release,Country
Horror,Texas Chainsaw Massacre,Tobe Hooper,Edwin Neal/Jim Siedow/Marilyn Burns/Paul A Partain,1974,USA
Horror,Dead of Night,Alberto Cavalcanti/Charles Crichton,Googie Withers/Mervyn Johns/Michael Redgrave,1945,UK
Horror,The Cabinet of Dr Caligari,Robert Wiene,Conrad Veidt/Lil Dagover/Werner Krauss,1920,Germany
Horror,Halloween,John Carpenter,Donald Pleasance/Donald Pleasence/Jamie Lee Curtis/Nancy Loomis/Tony Moran,1978,USA
Horror,Bride of Frankenstein,James Whale,Boris Karloff/Colin Clive/Elsa Lanchester,1935,USA
Horror,Les Diaboliques,Henri-Georges Clouzot,Paul Meurisse/Simone Signoret/Vera Clouzot,1955,France
Horror,Audition,Miike Takashi,Eihi Shiina/Ishibashi Renji/Ishibashi Ryo/Matsuda Miyuki/Renji Ishibashi/Ryo Ishibashi/Shiina Eihi,1999,Korea
Horror,Dracula (1958),Terence Fisher,Christopher Lee/Melissa Stribling/Michael Gough/Peter Cushing,1958,UK
Horror,The Blair Witch Project,Daniel Myrick/E Sanchez,Heather Donahue/Joshua Leonard/Michael C. Williams,1999,USA
Horror,Evil Dead/Evil Dead II,Sam Raimi,Betsy Baker/Bruce Campbell/Ellen Sandweiss,1981/1987,USA
Horror,Carrie,Brian De Palma,John Travolta/Piper Laurie/Sissy Spacek,1976,USA
Horror,Les Vampires (1915),Louis Feuillade,Edouard Mathe/Marcel Levesque,1915,France
